team,opponent,home_score,away_score,game_duration,attendance,game_start,game_finish
TOR,CHW,4,2,2:11,12167,2010-04-13 19:07:00,2010-04-13 21:18:00
TOR,CHW,1,11,2:47,10610,2010-04-14 19:07:00,2010-04-14 21:54:00
TOR,CHW,7,3,2:47,10744,2010-04-15 19:07:00,2010-04-15 21:54:00
TOR,LAA,5,7,2:48,14779,2010-04-16 19:07:00,2010-04-16 21:55:00
TOR,LAA,3,6,2:41,17187,2010-04-17 15:07:00,2010-04-17 17:48:00
TOR,LAA,1,3,2:21,14246,2010-04-18 13:07:00,2010-04-18 15:28:00
TOR,KCR,8,1,2:42,10314,2010-04-19 19:07:00,2010-04-19 21:49:00
TOR,KCR,4,3,2:30,10565,2010-04-20 19:07:00,2010-04-20 21:37:00
TOR,KCR,3,4,2:40,15577,2010-04-21 12:37:00,2010-04-21 15:17:00
TOR,BOS,12,13,4:03,13847,2010-04-26 19:07:00,2010-04-26 23:10:00
TOR,BOS,1,2,2:49,14776,2010-04-27 19:07:00,2010-04-27 21:56:00
TOR,BOS,0,2,2:54,15276,2010-04-28 19:07:00,2010-04-28 22:01:00
TOR,OAK,6,3,2:37,10721,2010-04-29 19:07:00,2010-04-29 21:44:00
TOR,OAK,10,2,2:41,12722,2010-04-30 19:07:00,2010-04-30 21:48:00
TOR,OAK,3,4,2:33,13951,2010-05-01 15:07:00,2010-05-01 17:40:00
TOR,OAK,9,3,2:33,14725,2010-05-02 13:07:00,2010-05-02 15:40:00
TOR,TEX,16,10,3:21,16020,2010-05-14 19:07:00,2010-05-14 22:28:00
TOR,TEX,6,0,2:22,15945,2010-05-15 15:07:00,2010-05-15 17:29:00
TOR,TEX,5,2,2:36,25518,2010-05-16 13:07:00,2010-05-16 15:43:00
TOR,MIN,3,8,2:57,13892,2010-05-17 19:07:00,2010-05-17 22:04:00
TOR,MIN,11,2,2:33,27981,2010-05-18 12:37:00,2010-05-18 15:10:00
TOR,BAL,5,0,2:35,16360,2010-05-28 19:07:00,2010-05-28 21:42:00
TOR,BAL,5,2,2:35,16194,2010-05-29 15:07:00,2010-05-29 17:42:00
TOR,BAL,6,1,2:05,15878,2010-05-30 13:07:00,2010-05-30 15:12:00
TOR,TBR,3,2,2:46,11335,2010-05-31 19:07:00,2010-05-31 21:53:00
TOR,TBR,6,7,3:22,13439,2010-06-01 19:07:00,2010-06-01 22:29:00
TOR,TBR,3,7,2:55,13517,2010-06-02 19:07:00,2010-06-02 22:02:00
TOR,NYY,6,1,2:47,30089,2010-06-04 19:07:00,2010-06-04 21:54:00
TOR,NYY,3,2,4:09,37165,2010-06-05 15:07:00,2010-06-05 19:16:00
TOR,NYY,3,4,3:01,33622,2010-06-06 13:07:00,2010-06-06 16:08:00
TOR,SFG,3,2,2:17,18667,2010-06-18 19:07:00,2010-06-18 21:24:00
TOR,SFG,3,0,2:15,20666,2010-06-19 15:07:00,2010-06-19 17:22:00
TOR,SFG,6,9,3:27,21431,2010-06-20 13:07:00,2010-06-20 16:34:00
TOR,STL,4,9,2:34,16830,2010-06-22 19:07:00,2010-06-22 21:41:00
TOR,STL,0,1,2:31,14079,2010-06-23 19:07:00,2010-06-23 21:38:00
TOR,STL,5,0,2:26,12392,2010-06-24 19:07:00,2010-06-24 21:33:00
TOR,MIN,6,7,2:35,15072,2010-07-06 19:07:00,2010-07-06 21:42:00
TOR,MIN,6,5,2:54,14886,2010-07-07 19:07:00,2010-07-07 22:01:00
TOR,MIN,8,1,2:15,15601,2010-07-08 19:07:00,2010-07-08 21:22:00
TOR,BOS,3,14,3:13,27567,2010-07-09 19:07:00,2010-07-09 22:20:00
TOR,BOS,9,5,3:29,35037,2010-07-10 15:07:00,2010-07-10 18:36:00
TOR,BOS,2,3,2:32,26062,2010-07-11 13:07:00,2010-07-11 15:39:00
TOR,BAL,9,5,2:39,17422,2010-07-26 19:07:00,2010-07-26 21:46:00
TOR,BAL,8,2,2:40,16862,2010-07-27 19:07:00,2010-07-27 21:47:00
TOR,BAL,5,0,2:24,17041,2010-07-28 19:07:00,2010-07-28 21:31:00
TOR,CLE,8,1,2:42,20228,2010-07-30 19:07:00,2010-07-30 21:49:00
TOR,CLE,1,2,2:48,22663,2010-07-31 15:07:00,2010-07-31 17:55:00
TOR,CLE,4,5,2:59,21797,2010-08-01 13:07:00,2010-08-01 16:06:00
TOR,TBR,2,1,2:23,22520,2010-08-06 19:07:00,2010-08-06 21:30:00
TOR,TBR,17,11,3:18,24168,2010-08-07 15:07:00,2010-08-07 18:25:00
TOR,TBR,1,0,2:29,22313,2010-08-08 13:07:00,2010-08-08 15:36:00
TOR,BOS,5,7,3:11,27690,2010-08-10 19:07:00,2010-08-10 22:18:00
TOR,BOS,1,10,3:00,28308,2010-08-11 19:07:00,2010-08-11 22:07:00
TOR,BOS,6,5,2:53,36271,2010-08-12 12:37:00,2010-08-12 15:30:00
TOR,NYY,3,2,2:41,29198,2010-08-23 19:07:00,2010-08-23 21:48:00
TOR,NYY,5,11,3:04,30567,2010-08-24 19:07:00,2010-08-24 22:11:00
TOR,NYY,6,3,2:49,31449,2010-08-25 19:07:00,2010-08-25 21:56:00
TOR,DET,1,7,2:26,16088,2010-08-26 19:07:00,2010-08-26 21:33:00
TOR,DET,3,2,3:32,20298,2010-08-27 19:07:00,2010-08-27 22:39:00
TOR,DET,5,4,2:51,27119,2010-08-28 15:07:00,2010-08-28 17:58:00
TOR,DET,4,10,2:39,26624,2010-08-29 13:07:00,2010-08-29 15:46:00
TOR,TEX,7,2,2:14,17559,2010-09-06 12:37:00,2010-09-06 14:51:00
TOR,TEX,8,5,2:42,10518,2010-09-07 19:07:00,2010-09-07 21:49:00
TOR,TEX,1,8,2:49,10616,2010-09-08 19:07:00,2010-09-08 21:56:00
TOR,TEX,2,4,2:30,10658,2010-09-09 19:07:00,2010-09-09 21:37:00
TOR,TBR,8,9,3:01,14305,2010-09-10 19:07:00,2010-09-10 22:08:00
TOR,TBR,1,13,3:00,17632,2010-09-11 15:07:00,2010-09-11 18:07:00
TOR,TBR,5,4,3:02,14658,2010-09-12 13:07:00,2010-09-12 16:09:00
TOR,SEA,5,3,2:12,12158,2010-09-21 19:07:00,2010-09-21 21:19:00
TOR,SEA,3,6,2:33,12302,2010-09-22 19:07:00,2010-09-22 21:40:00
TOR,SEA,1,0,2:21,12590,2010-09-23 12:37:00,2010-09-23 14:58:00
TOR,BAL,6,4,2:53,13412,2010-09-24 19:07:00,2010-09-24 22:00:00
TOR,BAL,5,4,3:12,21504,2010-09-25 15:07:00,2010-09-25 18:19:00
TOR,BAL,5,2,2:48,17831,2010-09-26 13:07:00,2010-09-26 15:55:00
TOR,NYY,7,5,2:48,16004,2010-09-27 19:07:00,2010-09-27 21:55:00
TOR,NYY,1,6,2:55,18193,2010-09-28 19:07:00,2010-09-28 22:02:00
TOR,NYY,8,4,3:05,33143,2010-09-29 19:07:00,2010-09-29 22:12:00
TOR,MIN,13,3,2:45,47984,2011-04-01 19:07:00,2011-04-01 21:52:00
TOR,MIN,6,1,2:30,27194,2011-04-02 15:07:00,2011-04-02 17:37:00
TOR,MIN,3,4,2:58,35505,2011-04-03 13:07:00,2011-04-03 16:05:00
TOR,OAK,7,6,2:54,11077,2011-04-05 19:07:00,2011-04-05 22:01:00
TOR,OAK,5,3,2:18,11684,2011-04-06 19:07:00,2011-04-06 21:25:00
TOR,OAK,1,2,2:32,19528,2011-04-07 12:37:00,2011-04-07 15:09:00
TOR,NYY,6,5,3:59,25250,2011-04-19 19:07:00,2011-04-19 23:06:00
TOR,NYY,2,6,2:59,26062,2011-04-20 19:07:00,2011-04-20 22:06:00
TOR,TBR,6,4,3:45,23192,2011-04-22 19:07:00,2011-04-22 22:52:00
TOR,TBR,4,6,2:46,21826,2011-04-23 15:07:00,2011-04-23 17:53:00
TOR,TBR,0,2,2:05,14456,2011-04-24 13:07:00,2011-04-24 15:12:00
TOR,DET,7,4,2:52,19711,2011-05-06 19:07:00,2011-05-06 21:59:00
TOR,DET,0,9,2:35,23453,2011-05-07 15:07:00,2011-05-07 17:42:00
